Provinsi,Time,pou,tpak,gini,ump
ACEH,2017,8.4,64.665,0.329,2500000
ACEH,2018,8.68,64.395,0.318,2700000
ACEH,2019,9.41,64.695,0.321,2916810
ACEH,2020,8.58,65.71,0.319,3165030
ACEH,2021,6.9,64.46,0.323,3165030
ACEH,2022,10.98,63.825,0.291,3166460
ACEH,2023,9.44,64.945,0.296,3413666
BALI,2017,4.69,76.055,0.382,1956727
BALI,2018,2.73,78.12,0.364,2127157
BALI,2019,2.91,75.12,0.37,2297969
BALI,2020,4.01,75.675,0.369,2494000
BALI,2021,7.43,73.625,0.375,2493523
BALI,2022,7.72,77.0,0.362,2516971
BALI,2023,3.77,77.135,0.362,2713672
BANTEN,2017,2.64,64.775,0.381,1931180
BANTEN,2018,2.95,64.7,0.367,2099385
BANTEN,2019,2.13,64.66,0.361,2267990
BANTEN,2020,2.11,64.175,0.365,2460997
BANTEN,2021,2.8,64.035,0.363,2460968
BANTEN,2022,2.46,64.9,0.377,2501203
BANTEN,2023,2.87,65.19,0.368,2661280
BENGKULU,2017,12.51,71.945,0.35,1737412
BENGKULU,2018,8.71,71.805,0.355,1888741
BENGKULU,2019,7.66,71.245,0.329,2040407
BENGKULU,2020,7.72,72.835,0.323,2213604
BENGKULU,2021,8.64,70.745,0.321,2213604
BENGKULU,2022,11.66,70.65,0.315,2238094
BENGKULU,2023,9.25,71.815,0.333,2418280
DI YOGYAKARTA,2017,8.84,71.76,0.436,1337645
DI YOGYAKARTA,2018,8.7,72.59,0.422,1454154
DI YOGYAKARTA,2019,7.35,72.82,0.428,1570923
DI YOGYAKARTA,2020,9.9,70.955,0.437,1704608
DI YOGYAKARTA,2021,10.18,73.165,0.436,1765000
DI YOGYAKARTA,2022,13.48,73.64,0.459,1840916
DI YOGYAKARTA,2023,10.08,73.755,0.449,1981782
DKI JAKARTA,2017,1.8,66.075,0.411,3355750
DKI JAKARTA,2018,1.46,65.705,0.39,3648036
DKI JAKARTA,2019,1.43,65.77,0.391,3940973
DKI JAKARTA,2020,1.94,65.39,0.4,4276350
DKI JAKARTA,2021,2.2,63.875,0.411,4416186
DKI JAKARTA,2022,3.42,62.675,0.412,4641854
DKI JAKARTA,2023,2.57,64.14,0.431,4901798
GORONTALO,2017,9.27,67.61,0.418,2030000
GORONTALO,2018,11.55,70.675,0.417,2206813
GORONTALO,2019,7.78,70.17,0.41,2384020
GORONTALO,2020,10.33,66.93,0.406,2788826
GORONTALO,2021,14.84,66.655,0.409,2586900
GORONTALO,2022,18.63,68.345,0.423,2800580
GORONTALO,2023,15.1,70.69,0.417,2989350
JAMBI,2017,10.94,69.18,0.335,2063000
JAMBI,2018,10.05,69.58,0.335,2243719
JAMBI,2019,8.95,66.6,0.324,2423889
JAMBI,2020,9.12,67.535,0.316,2630162
JAMBI,2021,9.25,67.235,0.315,2630161
JAMBI,2022,12.14,68.35,0.335,2698941
JAMBI,2023,12.83,68.315,0.343,2943000
JAWA BARAT,2017,3.6,63.97,0.398,1420624
JAWA BARAT,2018,3.82,63.285,0.405,1544361
JAWA BARAT,2019,3.7,65.3,0.398,1668373
JAWA BARAT,2020,3.9,65.21,0.398,1810351
JAWA BARAT,2021,4.44,64.89,0.406,1810350
JAWA BARAT,2022,6.75,66.23,0.412,1841487
JAWA BARAT,2023,5.5,66.62,0.425,1986670
JAWA TENGAH,2017,13.82,69.655,0.365,1367000
JAWA TENGAH,2018,11.22,69.335,0.357,1486065
JAWA TENGAH,2019,11.61,69.65,0.358,1605396
JAWA TENGAH,2020,11.8,69.94,0.359,1742015
JAWA TENGAH,2021,12.34,69.48,0.368,1798979
JAWA TENGAH,2022,12.34,71.44,0.366,1812935
JAWA TENGAH,2023,10.44,72.025,0.369,1958169
JAWA TIMUR,2017,8.51,68.855,0.406,1388000
JAWA TIMUR,2018,7.4,69.255,0.371,1508895
JAWA TIMUR,2019,7.47,69.905,0.364,1630059
JAWA TIMUR,2020,8.58,70.845,0.364,1768777
JAWA TIMUR,2021,9.14,69.875,0.364,1868777
JAWA TIMUR,2022,10.27,71.11,0.365,1891567
JAWA TIMUR,2023,8.09,72.03,0.387,2040244
KALIMANTAN BARAT,2017,18.9,70.33,0.328,1882900
KALIMANTAN BARAT,2018,18.68,70.695,0.325,2046900
KALIMANTAN BARAT,2019,19.11,70.1,0.318,2211500
KALIMANTAN BARAT,2020,19.92,69.645,0.325,2399699
KALIMANTAN BARAT,2021,19.6,69.415,0.315,2399698
KALIMANTAN BARAT,2022,19.22,69.355,0.311,2434328
KALIMANTAN BARAT,2023,15.03,68.935,0.321,2608602
KALIMANTAN SELATAN,2017,2.29,71.735,0.347,2258000
KALIMANTAN SELATAN,2018,2.67,71.375,0.34,2454671
KALIMANTAN SELATAN,2019,2.51,71.185,0.334,2651782
KALIMANTAN SELATAN,2020,2.72,70.91,0.351,2877449
KALIMANTAN SELATAN,2021,2.78,69.17,0.325,2877447
KALIMANTAN SELATAN,2022,4.47,68.595,0.309,2906473
KALIMANTAN SELATAN,2023,4.48,69.645,0.313,3149977
KALIMANTAN TENGAH,2017,9.03,70.69,0.335,2227307
KALIMANTAN TENGAH,2018,8.71,71.17,0.344,2421305
KALIMANTAN TENGAH,2019,9.38,70.615,0.335,2663435
KALIMANTAN TENGAH,2020,10.1,69.645,0.32,2903145
KALIMANTAN TENGAH,2021,8.88,69.055,0.32,2903144
KALIMANTAN TENGAH,2022,12.83,67.085,0.309,2922516
KALIMANTAN TENGAH,2023,9.37,67.97,0.317,3181013
KALIMANTAN TIMUR,2017,11.61,64.6,0.332,2354800
KALIMANTAN TIMUR,2018,10.18,66.54,0.342,2543332
KALIMANTAN TIMUR,2019,6.97,68.04,0.335,2747561
KALIMANTAN TIMUR,2020,8.24,68.645,0.335,2981379
KALIMANTAN TIMUR,2021,12.56,66.475,0.331,2981378
KALIMANTAN TIMUR,2022,16.19,65.475,0.317,3014497
KALIMANTAN TIMUR,2023,9.2,65.615,0.322,3201396
KALIMANTAN UTARA,2017,14.35,68.285,0.311,2358800
KALIMANTAN UTARA,2018,11.05,67.96,0.304,2559903
KALIMANTAN UTARA,2019,10.12,66.98,0.292,2765463
KALIMANTAN UTARA,2020,12.11,67.305,0.3,3000804
KALIMANTAN UTARA,2021,12.75,66.205,0.285,3000803
KALIMANTAN UTARA,2022,23.01,66.07,0.27,3016738
KALIMANTAN UTARA,2023,15.92,68.69,0.277,3251703
KEP. BANGKA BELITUNG,2017,9.61,68.535,0.279,2534673
KEP. BANGKA BELITUNG,2018,10.07,69.045,0.272,2755444
KEP. BANGKA BELITUNG,2019,7.85,67.315,0.262,2976706
KEP. BANGKA BELITUNG,2020,9.35,68.1,0.257,3230024
KEP. BANGKA BELITUNG,2021,11.05,66.935,0.247,3230022
KEP. BANGKA BELITUNG,2022,15.19,68.77,0.255,3264884
KEP. BANGKA BELITUNG,2023,13.35,69.335,0.245,3498479
KEP. RIAU,2017,4.09,69.94,0.347,2358454
KEP. RIAU,2018,4.38,67.805,0.339,2563875
KEP. RIAU,2019,4.08,66.3,0.337,2769754
KEP. RIAU,2020,6.07,66.755,0.334,3005460
KEP. RIAU,2021,7.71,67.33,0.339,3005383
KEP. RIAU,2022,11.3,67.71,0.325,3050172
KEP. RIAU,2023,9.83,67.985,0.34,3279194
LAMPUNG,2017,9.2,69.73,0.334,1908447
LAMPUNG,2018,12.11,71.21,0.326,2074673
LAMPUNG,2019,10.51,70.575,0.331,2241270
LAMPUNG,2020,12.19,70.875,0.32,2432002
LAMPUNG,2021,10.25,70.54,0.314,2431324
LAMPUNG,2022,14.63,71.285,0.313,2440486
LAMPUNG,2023,8.81,71.055,0.324,2633284
MALUKU,2017,26.57,63.13,0.332,1925000
MALUKU,2018,34.17,64.87,0.326,2222220
MALUKU,2019,34.12,64.08,0.32,2400664
MALUKU,2020,35.55,63.46,0.326,2604961
MALUKU,2021,29.62,65.075,0.316,2604960
MALUKU,2022,31.68,64.27,0.306,2619313
MALUKU,2023,30.27,63.71,0.288,2812827
MALUKU UTARA,2017,34.05,66.565,0.324,1975000
MALUKU UTARA,2018,30.75,68.87,0.336,2320803
MALUKU UTARA,2019,35.81,65.15,0.31,2508091
MALUKU UTARA,2020,35.48,64.35,0.29,2721530
MALUKU UTARA,2021,28.86,64.505,0.278,2721530
MALUKU UTARA,2022,30.71,65.795,0.309,2862231
MALUKU UTARA,2023,29.56,67.145,0.3,2976720
NUSA TENGGARA BARAT,2017,8.71,70.555,0.375,1631245
NUSA TENGGARA BARAT,2018,5.97,68.585,0.391,1825000
NUSA TENGGARA BARAT,2019,2.77,69.92,0.374,2012610
NUSA TENGGARA BARAT,2020,2.97,69.995,0.386,2183883
NUSA TENGGARA BARAT,2021,1.78,70.945,0.384,2183883
NUSA TENGGARA BARAT,2022,2.24,70.59,0.374,2207212
NUSA TENGGARA BARAT,2023,2.17,72.235,0.375,2371407
NUSA TENGGARA TIMUR,2017,11.26,70.955,0.359,1525000
NUSA TENGGARA TIMUR,2018,13.46,73.16,0.359,1660000
NUSA TENGGARA TIMUR,2019,14.11,71.465,0.355,1795000
NUSA TENGGARA TIMUR,2020,13.12,73.51,0.356,1950000
NUSA TENGGARA TIMUR,2021,11.84,73.535,0.339,1945902
NUSA TENGGARA TIMUR,2022,13.74,74.445,0.34,1975000
NUSA TENGGARA TIMUR,2023,14.98,75.115,0.325,2123994
PAPUA,2017,34.27,77.12,0.398,2663646
PAPUA,2018,38.35,79.165,0.398,3000000
PAPUA,2019,38.21,76.455,0.391,3240900
PAPUA,2020,31.49,73.585,0.395,3516700
PAPUA,2021,37.37,75.88,0.396,3516700
PAPUA,2022,36.18,78.99,0.393,3561932
PAPUA,2023,35.63,76.995,0.386,3864696
PAPUA BARAT,2017,27.22,68.835,0.389,2421500
PAPUA BARAT,2018,21.18,68.54,0.391,2667000
PAPUA BARAT,2019,19.22,67.615,0.381,2934500
PAPUA BARAT,2020,23.09,69.33,0.376,3134600
PAPUA BARAT,2021,24.59,69.225,0.374,3134600
PAPUA BARAT,2022,29.38,69.07,0.384,3200000
PAPUA BARAT,2023,24.0,68.3,0.37,3282000
PAPUA BARAT DAYA,2017,27.22,68.835,0.389,2421500
PAPUA BARAT DAYA,2018,21.18,68.54,0.391,2667000
PAPUA BARAT DAYA,2019,19.22,67.615,0.381,2934500
PAPUA BARAT DAYA,2020,23.09,69.33,0.376,3134600
PAPUA BARAT DAYA,2021,24.59,69.225,0.374,3134600
PAPUA BARAT DAYA,2022,29.38,69.07,0.384,3200000
PAPUA BARAT DAYA,2023,24.0,68.3,0.37,3282000
PAPUA PEGUNUNGAN,2017,34.27,77.12,0.398,2663646
PAPUA PEGUNUNGAN,2018,38.35,79.165,0.398,3000000
PAPUA PEGUNUNGAN,2019,38.21,76.455,0.391,3240900
PAPUA PEGUNUNGAN,2020,31.49,73.585,0.395,3516700
PAPUA PEGUNUNGAN,2021,37.37,75.88,0.396,3516700
PAPUA PEGUNUNGAN,2022,36.18,78.99,0.393,3561932
PAPUA PEGUNUNGAN,2023,35.63,76.995,0.386,3864696
PAPUA SELATAN,2017,34.27,77.12,0.398,2663646
PAPUA SELATAN,2018,38.35,79.165,0.398,3000000
PAPUA SELATAN,2019,38.21,76.455,0.391,3240900
PAPUA SELATAN,2020,31.49,73.585,0.395,3516700
PAPUA SELATAN,2021,37.37,75.88,0.396,3516700
PAPUA SELATAN,2022,36.18,78.99,0.393,3561932
PAPUA SELATAN,2023,35.63,76.995,0.386,3864696
PAPUA TENGAH,2017,34.27,77.12,0.398,2663646
PAPUA TENGAH,2018,38.35,79.165,0.398,3000000
PAPUA TENGAH,2019,38.21,76.455,0.391,3240900
PAPUA TENGAH,2020,31.49,73.585,0.395,3516700
PAPUA TENGAH,2021,37.37,75.88,0.396,3516700
PAPUA TENGAH,2022,36.18,78.99,0.393,3561932
PAPUA TENGAH,2023,35.63,76.995,0.386,3864696
RIAU,2017,8.61,66.21,0.325,2266722
RIAU,2018,9.66,67.75,0.347,2464154
RIAU,2019,8.32,66.63,0.331,2662026
RIAU,2020,9.16,66.115,0.321,2888564
RIAU,2021,10.61,65.42,0.327,2888563
RIAU,2022,15.12,64.92,0.323,2938564
RIAU,2023,12.33,64.815,0.324,3191662
SULAWESI BARAT,2017,10.59,68.82,0.347,2017780
SULAWESI BARAT,2018,10.23,70.685,0.366,2193530
SULAWESI BARAT,2019,6.79,70.665,0.365,2381000
SULAWESI BARAT,2020,9.16,70.28,0.356,2678863
SULAWESI BARAT,2021,10.81,70.99,0.366,2678863
SULAWESI BARAT,2022,9.82,70.95,0.371,2678863
SULAWESI BARAT,2023,8.29,69.335,0.351,2871794
SULAWESI SELATAN,2017,5.43,62.63,0.418,2435625
SULAWESI SELATAN,2018,6.22,65.65,0.388,2647767
SULAWESI SELATAN,2019,7.65,65.035,0.391,2860382
SULAWESI SELATAN,2020,10.14,64.4,0.382,3103800
SULAWESI SELATAN,2021,7.93,65.045,0.377,3165876
SULAWESI SELATAN,2022,10.79,66.015,0.365,3165876
SULAWESI SELATAN,2023,7.84,65.015,0.377,3385145
SULAWESI TENGAH,2017,4.6,70.505,0.35,1807775
SULAWESI TENGAH,2018,6.95,71.61,0.317,1965232
SULAWESI TENGAH,2019,8.44,69.5,0.33,2123040
SULAWESI TENGAH,2020,8.85,70.36,0.321,2303711
SULAWESI TENGAH,2021,10.63,68.83,0.326,2303710
SULAWESI TENGAH,2022,11.92,70.425,0.305,2390739
SULAWESI TENGAH,2023,10.09,70.02,0.304,2599546
SULAWESI TENGGARA,2017,7.55,70.875,0.399,2002625
SULAWESI TENGGARA,2018,7.12,71.305,0.392,2177052
SULAWESI TENGGARA,2019,8.79,70.49,0.393,2351870
SULAWESI TENGGARA,2020,10.06,70.535,0.388,2552015
SULAWESI TENGGARA,2021,11.17,70.425,0.394,2552014
SULAWESI TENGGARA,2022,17.14,67.565,0.366,2576017
SULAWESI TENGGARA,2023,10.49,68.81,0.371,2758948
SULAWESI UTARA,2017,3.1,64.815,0.395,2598000
SULAWESI UTARA,2018,3.12,65.455,0.372,2824286
SULAWESI UTARA,2019,3.96,63.82,0.376,3051076
SULAWESI UTARA,2020,4.49,63.955,0.368,3310723
SULAWESI UTARA,2021,6.91,62.715,0.359,3310723
SULAWESI UTARA,2022,6.22,62.525,0.359,3310723
SULAWESI UTARA,2023,6.26,63.7,0.37,3485000
SUMATERA BARAT,2017,5.53,68.355,0.315,1949284
SUMATERA BARAT,2018,5.45,70.315,0.305,2119067
SUMATERA BARAT,2019,4.9,69.25,0.307,2289220
SUMATERA BARAT,2020,5.86,70.88,0.301,2484041
SUMATERA BARAT,2021,6.02,68.065,0.3,2484041
SUMATERA BARAT,2022,7.31,68.65,0.292,2512539
SUMATERA BARAT,2023,7.63,69.785,0.28,2742476
SUMATERA SELATAN,2017,7.47,70.81,0.363,2388000
SUMATERA SELATAN,2018,10.84,70.65,0.341,2595995
SUMATERA SELATAN,2019,9.04,69.44,0.339,2804453
SUMATERA SELATAN,2020,9.77,69.29,0.338,3043111
SUMATERA SELATAN,2021,6.82,69.36,0.34,3144446
SUMATERA SELATAN,2022,7.37,69.32,0.33,3144446
SUMATERA SELATAN,2023,6.53,70.225,0.338,3404177
SUMATERA UTARA,2017,7.39,69.005,0.325,1961354
SUMATERA UTARA,2018,5.75,72.725,0.311,2132189
SUMATERA UTARA,2019,4.84,72.545,0.315,2303403
SUMATERA UTARA,2020,6.73,70.42,0.314,2499423
SUMATERA UTARA,2021,6.33,69.245,0.313,2499422
SUMATERA UTARA,2022,8.7,69.99,0.326,2522610
SUMATERA UTARA,2023,8.6,70.83,0.309,2710493
